class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description
DEATHKNIGHT,defensive,Anti-Magic Shell,48707,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-death-knight-anti-magic-shell.png,wow-death-knight-anti-magic-shell.jpg,Surrounds the Death Knight in an Anti-Magic Shell; absorbing 75% of the damage dealt by harmful spells (up to a maximum of 50% of the Death Knight's health) and preventing application of harmful magical effects.  Damage absorbed by Anti-Magic Shell energizes the Death Knight with additional runic power.  Lasts 5 sec.
DEATHKNIGHT,cc,Asphyxiate,221562,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-asphyxiate.png,wow-death-knight-asphyxiate.jpg,Lifts the enemy target off the ground; crushing their throat with dark energy and stunning them for 5 sec.
DEATHKNIGHT,aoeCC,Blinding Sleet,207167,1,1,1,Crowd Control,0,,Instant,0 yards,1 minute,wow-death-knight-blinding-sleet.png,wow-death-knight-blinding-sleet.jpg,Targets in a cone in front of you are blinded; causing them to wander disoriented for 5 sec. Damage may cancel the effect.When Blinding Sleet ends; enemies are slowed by 50% for 6 sec.
DEATHKNIGHT,defensive,Icebound Fortitude,48792,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-death-knight-icebound-fortitude.png,wow-death-knight-icebound-fortitude.jpg,The Death Knight freezes his blood to become immune to Stun effects and reduce all damage taken by Glyph of Icebound Fortitude4030% plus additional damage reduction based on Defense for 12 sec.
DEATHKNIGHT,interrupt,Mind Freeze,47528,1,1,1,Interrupts,0,,Instant,15 yards,15 seconds,wow-death-knight-mind-freeze.png,wow-death-knight-mind-freeze.jpg,Smash the target's mind with cold; interrupting spellcasting and preventing any spell in that school from being cast for 4 sec.
DEATHKNIGHT,offensive,Pillar of Frost,51271,1,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-death-knight-pillar-of-frost.png,wow-death-knight-pillar-of-frost.jpg,The power of frost increases your Strength by 30% for 12 sec.
DEATHKNIGHT,disarm,Strangulate,47476,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-strangulate.png,wow-death-knight-strangulate.jpg,Strangulates an enemy; silencing them for 5 sec.  Non-player victim spellcasting is also interrupted for 3 sec.
DEATHKNIGHT,offensive,Unholy Assault,207289,1,0,0,,1,Offensives,Instant,5 yards,1.5 minutes,wow-death-knight-unholy-assault.png,wow-death-knight-unholy-assault.jpg,Strike your target dealing (127.6% of Attack power) Shadow damage; infecting the target with 4 Festering Wounds and sending you into an Unholy Frenzy increasing all damage done by 20% for 20 sec.
DEMONHUNTER,defensive,Blur,198589,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-demon-hunter-blur.png,wow-demon-hunter-blur.jpg,Increases your chance to dodge by 50% and reduces all damage taken by 20% for 10 sec.
DEMONHUNTER,aoeCC,Chaos Nova,179057,0,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-demon-hunter-chaos-nova.png,wow-demon-hunter-chaos-nova.jpg,Unleash an eruption of fel energy; dealing (27.4816% of Attack power) Chaos damage and stunning all nearby enemies for 2 sec.[Chaos Fragments: Each enemy stunned by Chaos Nova has a 30% chance to generate a Lesser Soul Fragment]
DEMONHUNTER,raidDefensive,Darkness,196718,1,1,0,,0,,Instant,0 yards,5 minutes,wow-demon-hunter-darkness.png,wow-demon-hunter-darkness.jpg,Summons darkness around you in an 8 yd radius; granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.Chance to avoid damage increased by 100% when not in a raid.
DEMONHUNTER,interrupt,Disrupt,183752,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-demon-hunter-disrupt.png,wow-demon-hunter-disrupt.jpg,Interrupts the enemy's spellcasting and locks them from that school of magic for 3 sec.[Disrupting Fury: Generates 30 Fury on a successful interrupt]
DEMONHUNTER,offensive,Essence Break,258860,0,0,0,,1,Offensives,Instant,10 yards,40 seconds,wow-demon-hunter-essence-break.png,wow-demon-hunter-essence-break.jpg,Slash all enemies in front of you for (282.5% of Attack power) Chaos damage; and increase the damage your Chaos Strike and Blade Dance deal to them by 80% for 4 sec. Deals reduced damage beyond 8 targets.
DEMONHUNTER,offensive,Fel Barrage,258925,0,0,0,,1,Offensives,Instant,0 yards,1.5 minutes,wow-demon-hunter-fel-barrage.png,wow-demon-hunter-fel-barrage.jpg,Unleash a torrent of Fel energy; rapidly consuming Fury to inflict (34.9034% of Attack power) Chaos damage to all enemies within 12 yds; lasting 8 sec or until Fury is depleted. Deals reduced damage beyond 5 targets.
DEMONHUNTER,cc,Fel Eruption,211881,1,1,0,,0,,Instant,20 yards,30 seconds,wow-demon-hunter-fel-eruption.png,wow-demon-hunter-fel-eruption.jpg,Impales the target for (37% of Attack power) Chaos damage and stuns them for 4 sec.
DEMONHUNTER,cc,Imprison,217832,1,1,1,Crowd Control,0,,Instant,20 yards,45 seconds,wow-demon-hunter-imprison.png,wow-demon-hunter-imprison.jpg,Imprisons a demon; beast; or humanoid; incapacitating them for 1 min. Damage will cancel the effect. Limit 1.
DEMONHUNTER,immunity,Netherwalk,196555,1,1,1,Defensives,0,,Instant,0 yards,3 minutes,wow-demon-hunter-netherwalk.png,wow-demon-hunter-netherwalk.jpg,Slip into the nether; increasing movement speed by 100% and becoming immune to damage; but unable to attack. Lasts 6 sec.
DEMONHUNTER,counterCC,Reverse Magic,205604,1,1,0,,0,,Instant,0 yards,1 minute,wow-demon-hunter-reverse-magic.png,wow-demon-hunter-reverse-magic.jpg,Removes all harmful magical effects from yourself and all nearby allies within 10 yards; and sends them back to their original caster if possible.
DEMONHUNTER,offensive,The Hunt,370965,0,0,0,,1,Offensives,1 second,50 yards,1.5 minutes,wow-demon-hunter-the-hunt.png,wow-demon-hunter-the-hunt.jpg,HavocCharge to your target; striking them for (559.35% of Attack power) Chaos damage; rooting them in place for 1.5 sec and inflicting (361.254% of Attack power) Chaos damage over 6 sec to up to 5 enemies in your path. The pursuit invigorates your soul; healing you for 10% of the damage you deal to your Hunt target for 20 sec. VengeanceCharge to your target; striking them for (559.35% of Attack power) Chaos damage; rooting them in place for 1.5 sec and inflicting (361.254% of Attack power) Chaos damage over 6 sec to up to 5 enemies in your path. The pursuit invigorates your soul; healing you for 25% of the damage you deal to your Hunt target for 20 sec.
DRUID,defensive,Barkskin,22812,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-druid-barkskin.png,wow-druid-barkskin.jpg,Your skin becomes as tough as bark; reducing all damage you take by 20% and preventing damage from delaying your spellcasts. Lasts 8 sec.Usable while stunned; frozen; incapacitated; feared; or asleep; and in all shapeshift forms.
DRUID,offensive,Berserk,106951,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-berserk.png,wow-druid-berserk.jpg,Go Berserk for 15 sec. While Berserk:Generate 1 combo point every 1.5 sec. Combo point generating abilities generate 1 additional combo points. Finishing moves restore up to 3 combo points generated over the cap.All attack and ability damage is increased by 15%.
DRUID,offensive,Celestial Alignment,194223,1,0,0,,1,Offensives,Instant,40 yards,3 minutes,wow-druid-celestial-alignment.png,wow-druid-celestial-alignment.jpg,Celestial bodies align; maintaining both Eclipses and granting 10% haste for 15 sec.
DRUID,offensive,Feral Frenzy,274837,0,0,0,,1,Offensives,Instant,5 yards,45 seconds,wow-druid-feral-frenzy.png,wow-druid-feral-frenzy.jpg,Unleash a furious frenzy; clawing your target 5 times for [(13.75% of Attack power) * 5] Physical damage and an additional [5 * (27.5% of Attack power) * 6 / 2] Bleed damage over 6 sec.Awards 5 combo points.
DRUID,aoeCC,Incapacitating Roar,99,0,1,1,Crowd Control,0,,Instant,0 yards,30 seconds,wow-druid-incapacitating-roar.png,wow-druid-incapacitating-roar.jpg,Shift into Bear Form and invoke the spirit of Ursol to let loose a deafening roar; incapacitating all enemies within 10 yards for 3 sec. Damage will cancel the effect.
DRUID,offensive,Incarnation: Avatar of Ashamane,102543,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-avatar-of-ashamane.png,wow-druid-incarnation-avatar-of-ashamane.jpg,An improved Cat Form that grants all of your known Berserk effects and lasts 20 sec. You may shapeshift in and out of this improved Cat Form for its duration. During Incarnation:Energy cost of all Cat Form abilities is reduced by 25%; and Prowl can be used once while in combat.[Berserk: Generate 1 combo point every 1.5 sec. Combo point generating abilities generate 1 additional combo points. Finishing moves restore up to 3 combo points generated over the cap.All attack and ability damage is increased by 15%]
DRUID,offensive,Incarnation: Chosen of Elune,102560,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-chosen-of-elune.png,wow-druid-incarnation-chosen-of-elune.jpg,An improved Moonkin Form that grants both Eclipses; any learned Celestial Alignment bonuses; and 10% critical strike chance.Lasts 20 sec. You may shapeshift in and out of this improved Moonkin Form for its duration.
DRUID,offensive,Incarnation: Guardian of Ursoc,102558,0,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-guardian-of-ursoc.png,wow-druid-incarnation-guardian-of-ursoc.jpg,An improved Bear Form that grants the benefits of Berserk; causes Mangle to hit up to 3 targets; and increases maximum health by 30%.Lasts 30 sec. You may freely shapeshift in and out of this improved Bear Form for its duration.
DRUID,externalDefensive,Ironbark,102342,1,1,1,Defensives,0,,Instant,40 yards,1.5 minutes,wow-druid-ironbark.png,wow-druid-ironbark.jpg,The target's skin becomes as tough as Ironwood; reducing damage taken by 20% for 12 sec.
DRUID,cc,Mighty Bash,5211,1,1,1,Crowd Control,0,,Instant,5 yards,1 minute,wow-druid-mighty-bash.png,wow-druid-mighty-bash.jpg,Invokes the spirit of Ursoc to stun the target for 4 sec. Usable in all shapeshift forms.
DRUID,dispel,Nature's Cure,88423,0,1,0,,0,,Instant,40 yards,,wow-druid-nature's-cure.png,wow-druid-nature's-cure.jpg,Cures harmful effects on the friendly target; removing all Magic [Improved Nature's Cure: Curse; and Poison] effects.
DRUID,defensive,Nature's Swiftness,132158,0,1,1,Defensives,0,,Instant,0 yards,,wow-druid-nature's-swiftness.png,wow-druid-nature's-swiftness.jpg,Your next Regrowth; Rebirth; or Entangling Roots is instant; free; castable in all forms; and heals for an additional 100%.
DRUID,dispel,Remove Corruption,2782,0,1,0,,0,,Instant,40 yards,8 seconds,wow-druid-remove-corruption.png,wow-druid-remove-corruption.jpg,Nullifies corrupting effects on the friendly target; removing all Curse and Poison effects.
DRUID,heal,Renewal,108238,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-druid-renewal.png,wow-druid-renewal.jpg,Instantly heals you for 30% of maximum health. Usable in all shapeshift forms.
DRUID,interrupt,Skull Bash,106839,1,1,1,Interrupts,0,,Instant,13 yards,15 seconds,wow-druid-skull-bash.png,wow-druid-skull-bash.jpg,You charge and bash the target's skull; interrupting spellcasting and preventing any spell in that school from being cast for 3 sec.
DRUID,interrupt,Solar Beam,78675,1,1,1,Interrupts,0,,Instant,40 yards,1 minute,wow-druid-solar-beam.png,wow-druid-solar-beam.jpg,Summons a beam of solar light over an enemy target's location; interrupting the target and silencing all enemies within the beam. Lasts 8 sec.
DRUID,defensive,Survival Instincts,61336,1,1,1,Defensives,0,,Instant,0 yards,6 seconds,wow-druid-survival-instincts.png,wow-druid-survival-instincts.jpg,When activated; this ability temporarily grants you 30% of your maximum health for 20 sec while in Bear Form; Cat Form; or Dire Bear Form.  After the effect expires; the health is lost.
DRUID,raidDefensive,Tranquility,740,1,1,0,,0,,Channeled,0 yards,3 minutes,wow-druid-tranquility.png,wow-druid-tranquility.jpg,Heals all allies within 40 yards for [5 * (271.4% of Spell power)] over 8 sec. Each heal heals the target for another (7.912% of Spell power) over 8 sec; stacking.Healing decreased beyond 5 targets.
EVOKER,offensive,Breath of Eons,403631,1,1,0,,0,,Instant,15 - 50 yards,2 minutes,wow-evoker-breath-of-eons.png,wow-evoker-breath-of-eons.jpg,Fly to the targeted location; exposing Temporal Wounds on enemies in your path for 10 sec.Temporal Wounds accumulate 10% of damage dealt by your allies affected by Ebon Might; then critically strike for that amount as Arcane damage.[ Augmentation: Applies Ebon Might for 5 sec]Removes all root effects. You are immune to movement impairing and loss of control effects while flying.
EVOKER,dispel,Cauterizing Flame,374251,1,1,0,,0,,Instant,25 yards,1 minute,wow-evoker-cauterizing-flame.png,wow-evoker-cauterizing-flame.jpg,Cauterize an ally's wounds; removing all Bleed; Poison; Curse; and Disease effects. Heals for (350% of Spell power) upon removing any effect.
EVOKER,offensive,Dragonrage,375087,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-evoker-dragonrage.png,wow-evoker-dragonrage.jpg,Erupt with draconic fury and exhale Pyres at 3 enemies within 25 yds.For 18 sec; Essence Burst's chance to occur is increased to 100% [Tyranny: and you gain the maximum benefit of Mastery: Giantkiller regardless of targets' health].
EVOKER,heal,Emerald Communion,370960,1,1,1,Defensives,1,Offensives,Channeled,0 yards,3 minutes,wow-evoker-emerald-communion.png,wow-evoker-emerald-communion.jpg,Commune with the Emerald Dream; restoring 20% health and 2% mana every 1 sec for 5 sec. Overhealing is transferred to an injured ally within 40 yds.Castable while stunned; disoriented; incapacitated; or silenced.
EVOKER,dispel,Naturalize,360823,0,1,0,,0,,Instant,30 yards,8 seconds,wow-evoker-naturalize.png,wow-evoker-naturalize.jpg,Cleanses harmful effects from the target; removing all Magic and Poison effects.
EVOKER,counterCC,Nullifying Shroud,378464,0,0,0,,1,Offensives,1.5 seconds,0 yards,1.5 minutes,wow-evoker-nullifying-shroud.png,wow-evoker-nullifying-shroud.jpg,Wreathe yourself in arcane energy; preventing the next 3 full loss of control effects against you. Lasts 30 sec.
EVOKER,interrupt,Quell,351338,1,1,1,Interrupts,0,,Instant,25 yards,40 seconds,wow-evoker-quell.png,wow-evoker-quell.jpg,Interrupt an enemy's spellcasting and prevent any spell from that school of magic from being cast for 4 sec.
EVOKER,movement,Rescue,370665,1,1,0,,0,,Instant,30 yards,1 minute,wow-evoker-rescue.png,wow-evoker-rescue.jpg,Swoop to an ally and fly with them to the target location.
EVOKER,raidDefensive,Rewind,363534,1,1,1,Defensives,0,,Instant,40 yards,,wow-evoker-rewind.png,wow-evoker-rewind.jpg,Rewind [Erasure: 16.5% / 33%] of damage taken in the last 5 seconds by all allies within 40 yds. Always heals for at least (Spell power * 0.4 * 5).Healing increased by 100% when not in a raid.
EVOKER,disarm,Swoop Up,370388,1,1,0,,0,,Instant,25 yards,1.5 minutes,wow-evoker-swoop-up.png,wow-evoker-swoop-up.jpg,Grab an enemy and fly with them to the target location.
EVOKER,externalDefensive,Time Dilation,357170,1,1,0,,0,,Instant,30 yards,1 minute,wow-evoker-time-dilation.png,wow-evoker-time-dilation.jpg,Stretch time around an ally for the next 8 sec; causing 50% of damage they would take to instead be dealt over 8 sec.
EVOKER,externalDefensive,Time of Need,368412,1,1,0,,0,,Instant,0 yards,2 minutes,wow-evoker-time-of-need.png,wow-evoker-time-of-need.jpg,When you or an ally fall below 30% health; a version of yourself enters your timeline and heals them for (501.6% of Spell power). Your alternate self continues healing for 8 sec before returning to their timeline.May only occur once every 60 sec.
HUNTER,immunity,Aspect of the Turtle,186265,1,1,1,Defensives,0,,Instant,0 yards,3 minutes,wow-hunter-aspect-of-the-turtle.png,wow-hunter-aspect-of-the-turtle.jpg,Deflects all attacks and reduces all damage you take by 30% for 8 sec; but you cannot attack.
HUNTER,offensive,Bestial Wrath,19574,0,0,0,,1,Offensives,Instant,100 yards,1.5 minutes,wow-hunter-bestial-wrath.png,wow-hunter-bestial-wrath.jpg,Sends you and your pet into a rage; instantly dealing [Attack power * 1.8 * 1 * (1 + Versatility) * 1.08] Physical damage to its target; and increasing all damage you both deal by 25% for 15 sec. Removes all crowd control effects from your pet. [Barbed Wrath: Bestial Wrath's remaining cooldown is reduced by 12 sec each time you use Barbed Shot][Scent of Blood: and activating Bestial Wrath grants 0 charge of Barbed Shot]
HUNTER,offensive,Call of the Wild,359844,1,0,0,,1,Offensives,Instant,40 yards,2 minutes,wow-hunter-call-of-the-wild.png,wow-hunter-call-of-the-wild.jpg,You sound the call of the wild; summoning 2 of your active pets for 20 sec. During this time; a random pet from your stable will appear every 4 sec to assault your target for 6 sec. Each time Call of the Wild summons a pet; the cooldown of Barbed Shot and Kill Command are reduced by 50%.
HUNTER,offensive,Coordinated Assault,360952,1,0,0,,1,Offensives,Instant,40 yards,2 minutes,wow-hunter-coordinated-assault.png,wow-hunter-coordinated-assault.jpg,You and your pet charge your enemy; striking them for a combined [((200% of Attack power)) + ((200% of Attack power) * 0.6)] Physical damage. You and your pet's bond is then strengthened for 20 sec; causing you and your pet to deal 20% increased damage.While Coordinated Assault is active; Kill Command's chance to reset its cooldown is increased by 15%.
HUNTER,interrupt,Counter Shot,147362,1,1,1,Interrupts,0,,Instant,40 yards,24 seconds,wow-hunter-counter-shot.png,wow-hunter-counter-shot.jpg,Interrupts spellcasting; preventing any spell in that school from being cast for 3 sec.
HUNTER,heal,Exhilaration,109304,1,1,1,Defensives,0,,Instant,45 yards,2 minutes,wow-hunter-exhilaration.png,wow-hunter-exhilaration.jpg,Heals you for 30% and your pet for 100% of maximum health.[Natural Mending: Every 10 Focus spent reduces the cooldown of Exhilaration by 1.0 sec][Rejuvenating Wind: Exhilaration heals you for an additional 12.0% of your maximum health over 8 sec]
HUNTER,defensive,Feign Death,5384,0,1,0,,0,,Instant,0 yards,30 seconds,wow-hunter-feign-death.png,wow-hunter-feign-death.jpg,Feign death; tricking enemies into ignoring you. Lasts up to 6 min.
HUNTER,cc,Freezing Trap,187650,1,1,1,Crowd Control,0,,Instant,40 yards,30 seconds,wow-hunter-freezing-trap.png,wow-hunter-freezing-trap.jpg,Hurls a frost trap to the target location that incapacitates the first enemy that approaches for 1 min. Damage will break the effect. Limit 1. Trap will exist for 1 min.
HUNTER,cc,Intimidation,19577,1,1,1,Crowd Control,0,,Instant,100 yards,1 minute,wow-hunter-intimidation.png,wow-hunter-intimidation.jpg,Commands your pet to intimidate the target; stunning it for 5 sec.[Binding Shackles: Targets stunned by Intimidation deal 10% less damage to you for 8 sec after the effect ends]
HUNTER,interrupt,Muzzle,187707,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-hunter-muzzle.png,wow-hunter-muzzle.jpg,Interrupts spellcasting; preventing any spell in that school from being cast for 3 sec.
HUNTER,externalDefensive,Roar of Sacrifice,53480,1,1,0,,0,,Instant,40 yards,1 minute,wow-hunter-roar-of-sacrifice.png,wow-hunter-roar-of-sacrifice.jpg,Protects a friendly target from critical strikes; making attacks against that target unable to be critical strikes; but 20% of all damage taken by that target is also taken by the pet.  Lasts 12 sec.
HUNTER,cc,Scatter Shot,213691,0,1,0,,0,,Instant,20 yards,30 seconds,wow-hunter-scatter-shot.png,wow-hunter-scatter-shot.jpg,A short-range shot that deals (4.4616% of Attack power) damage; removes all harmful damage over time effects; and incapacitates the target for 4 sec.  Any damage caused will remove the effect. Turns off your attack when used.[Binding Shackles: Targets incapacitated by Scatter Shot deal 10% less damage to you for 8 sec after the effect ends]
HUNTER,defensive,Survival of the Fittest,264735,1,1,0,,0,,Instant,50000 yards,,wow-hunter-survival-of-the-fittest.png,wow-hunter-survival-of-the-fittest.jpg,Reduces all damage you and your pet take by 30% for 6 sec.
